,,weekly_pre_median,weekly_post_median,diff_weekly_median,rel_change_max_within1month,rel_change_max_time_within1month
Radom,Russian,1.3259110031975241e-06,2.221201430424529e-06,8.952904272270049e-07,171.0643318827297,2022-03-07
Radom,Ukrainian,4.397162008175729e-06,8.194727207558073e-06,3.7975651993823443e-06,283.9795857207779,2022-03-07
Radom,Lithuanian,4.35770942606788e-06,9.133437483945923e-06,4.775728057878042e-06,45.10328356149671,2022-03-14
Radom,German,1.3679530736351654e-06,1.6589982869793455e-06,2.9104521334418003e-07,68.51173327523752,2022-02-28
Radom,Japanese,6.55784913368866e-08,1.074985035552908e-07,4.19200122184042e-08,66.30726550154273,2022-03-21
Radom,Spanish; Castilian,1.9564189004136025e-07,3.4985882538641755e-07,1.542169353450573e-07,217.7542687327878,2022-03-07
Radom,French,4.0325158402588055e-07,4.519303267465442e-07,4.867874272066365e-08,35.446866687439616,2022-02-28
Radom,Italian,5.045409539119868e-07,6.476745682585821e-07,1.431336143465953e-07,60.41341015870054,2022-02-28
Radom,Chinese,1.1473302698194625e-07,1.5369504937017833e-07,3.8962022388232074e-08,203.75104944686592,2022-03-21
Radom,Persian,6.264802553784114e-08,1.1485874815649314e-07,5.221072261865201e-08,518.4686977073904,2022-02-28
Radom,Portuguese,1.775417926087906e-07,2.793927535073308e-07,1.0185096089854019e-07,2306.6508951207156,2022-03-14
Radom,Arabic,1.5750341428026306e-07,1.5675729952100941e-07,-7.461147592536413e-10,253.84549641407412,2022-02-28
Radom,Turkish,4.4462353880587545e-07,6.418184373362422e-07,1.9719489853036678e-07,30.856824657290048,2022-03-14
Radom,Indonesian,7.096293293775756e-08,7.101526121494063e-08,5.232827718306636e-11,-7.648392176633911,2022-03-07
Radom,Dutch; Flemish,7.381143459904287e-07,1.2953639544530913e-06,5.572496084626626e-07,216.28397492197305,2022-03-07
Rzeszów,English,8.326094527644816e-07,1.3817373722228377e-06,5.491279194583561e-07,849.2922159497855,2022-03-21
Rzeszów,Polish,7.414259381303284e-05,9.048535649320715e-05,1.6342762680174306e-05,46.49687761327495,2022-03-21
Rzeszów,Russian,2.581500658819272e-06,7.658416047126814e-06,5.0769153883075415e-06,1084.7281967903446,2022-03-21
Rzeszów,Ukrainian,1.2735045649485246e-05,3.779633185403656e-05,2.5061286204551316e-05,810.1870358556663,2022-03-21
Rzeszów,Lithuanian,3.080795399756309e-06,9.885420198458039e-06,6.80462479870173e-06,3592.7223334818827,2022-03-21
Rzeszów,German,2.1102893174454966e-06,3.5595056795248165e-06,1.4492163620793199e-06,916.2847786533373,2022-02-28
Rzeszów,Japanese,9.6781964078623e-08,2.8732455016304224e-07,1.9054258608441924e-07,4569.751658025157,2022-03-21
Rzeszów,Spanish; Castilian,4.1135621263813305e-07,6.682750689747115e-07,2.569188563365785e-07,919.7973117101334,2022-02-28
Rzeszów,French,6.173046727895441e-07,1.036359166949136e-06,4.1905449415959195e-07,1229.279910672872,2022-03-21
Rzeszów,Italian,6.710258969359918e-07,1.26882377928377e-06,5.977978823477782e-07,770.4125100788685,2022-03-07
Rzeszów,Chinese,2.1912259453220523e-07,4.891694081486833e-07,2.7004681361647804e-07,2220.6842032093527,2022-03-21
Rzeszów,Persian,9.877756344692803e-08,2.0772278405887477e-07,1.0894522061194674e-07,12932.34501546606,2022-03-21
Rzeszów,Portuguese,2.4265657041642715e-07,4.673283912491769e-07,2.2467182083274975e-07,1196.6391676833703,2022-03-21
Rzeszów,Arabic,1.5196245934600562e-07,2.85589976861414e-07,1.3362751751540838e-07,1802.2441129826802,2022-03-21
Rzeszów,Turkish,4.908759302712473e-07,9.66499777504085e-07,4.7562384723283776e-07,782.0719291713626,2022-03-14
Rzeszów,Indonesian,6.47084913739375e-08,1.7425715935354577e-07,1.0954866797960827e-07,1758.430816975103,2022-02-28
Rzeszów,Dutch; Flemish,1.0826178131769743e-06,2.765538751635259e-06,1.6829209384582848e-06,768.4305368870216,2022-02-28
Sosnowiec,English,3.235571216510797e-07,3.56766498932469e-07,3.32093772813893e-08,40.95276677732087,2022-03-21
Sosnowiec,Polish,3.642482398495118e-05,4.378284856866989e-05,7.358024583718707e-06,-7.621754883204456,2022-03-21
Sosnowiec,Russian,1.2484821591048226e-06,1.6270486361422004e-06,3.785664770373778e-07,161.39678189389707,2022-03-07
Sosnowiec,Ukrainian,3.8955413914907244e-06,5.224818706052262e-06,1.3292773145615377e-06,293.5428508745784,2022-03-07
Sosnowiec,Lithuanian,9.091041324237444e-07,1.4999185456072812e-06,5.908144131835368e-07,1273.8961909540299,2022-03-07
Sosnowiec,German,1.0018705973631491e-06,1.2114335654163466e-06,2.0956296805319748e-07,12.556034991294073,2022-03-07
